requirement_id,module_id,module_name,title,level,level_label,roles,is_deprecated,text
SYS.1.1.A19,SYS.1.1,Allgemeiner Server,Einrichtung lokaler Paketfilter,S,Standard,,False,"Vorhandene lokale Paketfilter SOLLTEN über ein Regelwerk so ausgestaltet werden, dass die eingehende und ausgehende Kommunikation auf die erforderlichen Kommunikationspartner, Kommunikationsprotokolle sowie Ports und Schnittstellen beschränkt wird. Die Identität von Remote-Systemen und die Integrität der Verbindungen mit diesen SOLLTE kryptografisch abgesichert sein."
SYS.1.1.A2,SYS.1.1,Allgemeiner Server,Authentisierung an Servern,B,Basis,,False,"Für die Anmeldung von Benutzenden und Diensten am Server MÜSSEN Authentisierungsverfahren eingesetzt werden, die dem Schutzbedarf der Server angemessen sind. Dies SOLLTE in besonderem Maße für administrative Zugänge berücksichtigt werden. Soweit möglich, SOLLTE dabei auf zentrale, netzbasierte Authentisierungsdienste zurückgegriffen werden."
SYS.1.1.A20,SYS.1.1,Allgemeiner Server,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
SYS.1.1.A21,SYS.1.1,Allgemeiner Server,Betriebsdokumentation für Server,S,Standard,,False,"Betriebliche Aufgaben, die an einem Server durchgeführt werden, SOLLTEN nachvollziehbar dokumentiert werden (Wer?, Wann?, Was?). Aus der Dokumentation SOLLTEN insbesondere Konfigurationsänderungen nachvollziehbar sein. Sicherheitsrelevante Aufgaben, z. B. wer befugt ist, neue Festplatten einzubauen, SOLLTEN dokumentiert werden. Alles, was automatisch dokumentiert werden kann, SOLLTE auch automatisch dokumentiert werden. Die Dokumentation SOLLTE gegen unbefugten Zugriff und Verlust geschützt werden."
SYS.1.1.A22,SYS.1.1,Allgemeiner Server,Einbindung in die Notfallplanung,S,Standard,,False,"Der Server SOLLTE im Notfallmanagementprozess berücksichtigt werden. Dazu SOLLTEN die Notfallanforderungen an den Server ermittelt und geeignete Notfallmaßnahmen umgesetzt werden, z. B. indem Wiederanlaufpläne erstellt oder Passwörter und kryptografische Schlüssel sicher hinterlegt werden."
SYS.1.1.A23,SYS.1.1,Allgemeiner Server,Systemüberwachung und Monitoring von Servern,S,Standard,,False,Das Server-System SOLLTE in ein geeignetes Systemüberwachungs- oder Monitoringkonzept eingebunden werden. Der Systemzustand sowie die Funktionsfähigkeit des Servers und der darauf betriebenen Dienste SOLLTEN laufend überwacht werden. Fehlerzustände sowie die Überschreitung definierter Grenzwerte SOLLTEN an das Betriebspersonal gemeldet werden.
SYS.1.1.A24,SYS.1.1,Allgemeiner Server,Sicherheitsprüfungen für Server,S,Standard,,False,"Server SOLLTEN regelmäßigen Sicherheitstests unterzogen werden, die überprüfen, ob alle Sicherheitsvorgaben eingehalten werden und gegebenenfalls vorhandene Schwachstellen identifizieren. Diese Sicherheitsprüfungen SOLLTEN insbesondere auf Servern mit externen Schnittstellen durchgeführt werden. Um mittelbare Angriffe über infizierte IT-Systeme im eigenen Netz zu vermeiden, SOLLTEN jedoch auch interne Server in festgelegten Zyklen entsprechend überprüft werden. Es SOLLTE geprüft werden, ob die Sicherheitsprüfungen automatisiert, z. B. mittels geeigneter Skripte, realisiert werden können."
SYS.1.1.A25,SYS.1.1,Allgemeiner Server,Geregelte Außerbetriebnahme eines Servers,S,Standard,,False,"Bei der Außerbetriebnahme eines Servers SOLLTE sichergestellt werden, dass keine wichtigen Daten, die eventuell auf den verbauten Datenträgern gespeichert sind, verloren gehen und dass keine schutzbedürftigen Daten zurückbleiben. Es SOLLTE einen Überblick darüber geben, welche Daten wo auf dem Server gespeichert sind. Es SOLLTE rechtzeitig sichergestellt werden, dass vom Server angebotene Dienste durch einen anderen Server übernommen werden, wenn dies erforderlich ist. Es SOLLTE eine Checkliste erstellt werden, die bei der Außerbetriebnahme eines Servers abgearbeitet werden kann. Diese Checkliste SOLLTE mindestens Aspekte zu Datensicherung, Migration von Diensten und dem anschließenden sicheren Löschen aller Daten umfassen."
SYS.1.1.A26,SYS.1.1,Allgemeiner Server,ENTFALLEN,H,Erhöhter Schutzbedarf,,True,Diese Anforderung ist entfallen.
SYS.1.1.A27,SYS.1.1,Allgemeiner Server,Hostbasierte Angriffserkennung,H,Erhöhter Schutzbedarf,,False,"Hostbasierte Angriffserkennungssysteme (Host-based Intrusion Detection Systems, IDS und Intrusion Prevention Systems, IPS) SOLLTEN eingesetzt werden, um das Systemverhalten auf Anomalien und Missbrauch hin zu überwachen. Die eingesetzten IDS/IPS-Mechanismen SOLLTEN geeignet ausgewählt, konfiguriert und ausführlich getestet werden. Bei einer Angriffserkennung SOLLTE das Betriebspersonal in geeigneter Weise alarmiert werden. Über Betriebssystem-Mechanismen oder geeignete Zusatzprodukte SOLLTEN Veränderungen an Systemdateien und Konfigurationseinstellungen überprüft, eingeschränkt und gemeldet werden."
SYS.1.1.A28,SYS.1.1,Allgemeiner Server,Steigerung der Verfügbarkeit durch Redundanz,H,Erhöhter Schutzbedarf,,False,"Server mit hohen Verfügbarkeitsanforderungen SOLLTEN gegen Ausfälle in geeigneter Weise geschützt sein. Hierzu SOLLTEN mindestens geeignete Redundanzen verfügbar sein sowie Wartungsverträge mit den Lieferanten abgeschlossen werden. Es SOLLTE geprüft werden, ob bei sehr hohen Anforderungen Hochverfügbarkeitsarchitekturen mit automatischem Failover, gegebenenfalls über verschiedene Standorte hinweg, erforderlich sind."
SYS.1.1.A29,SYS.1.1,Allgemeiner Server,ENTFALLEN,H,Erhöhter Schutzbedarf,,True,Diese Anforderung ist entfallen.
SYS.1.1.A3,SYS.1.1,Allgemeiner Server,ENTFALLEN,B,Basis,,True,Diese Anforderung ist entfallen.
SYS.1.1.A30,SYS.1.1,Allgemeiner Server,Ein Dienst pro Server,H,Erhöhter Schutzbedarf,,False,Abhängig von der Bedrohungslage und dem Schutzbedarf der Dienste SOLLTE auf jedem Server jeweils nur ein Dienst betrieben werden.
SYS.1.1.A31,SYS.1.1,Allgemeiner Server,Einsatz von Ausführungskontrolle,H,Erhöhter Schutzbedarf,,False,"Es SOLLTE über eine Ausführungskontrolle sichergestellt werden, dass nur explizit erlaubte Programme und Skripte ausgeführt werden können. Die Regeln SOLLTEN so eng wie möglich gefasst werden. Falls Pfade und Hashes nicht explizit angegeben werden können, SOLLTEN alternativ auch zertifikatsbasierte oder Pfad-Regeln genutzt werden."
SYS.1.1.A32,SYS.1.1,Allgemeiner Server,ENTFALLEN,H,Erhöhter Schutzbedarf,,True,Diese Anforderung ist entfallen.
SYS.1.1.A33,SYS.1.1,Allgemeiner Server,Aktive Verwaltung der Wurzelzertifikate,H,Erhöhter Schutzbedarf,,False,"Im Zuge der Beschaffung und Installation des Servers SOLLTE dokumentiert werden, welche Wurzelzertifikate für den Betrieb des Servers notwendig sind. Auf dem Server SOLLTEN lediglich die für den Betrieb notwendigen und vorab dokumentierten Wurzelzertifikate enthalten sein. Es SOLLTE regelmäßig überprüft werden, ob die vorhandenen Wurzelzertifikate noch den Vorgaben der Institution entsprechen. Es SOLLTEN alle auf dem IT-System vorhandenen Zertifikatsspeicher in die Prüfung einbezogen werden."
SYS.1.1.A34,SYS.1.1,Allgemeiner Server,Festplattenverschlüsselung,H,Erhöhter Schutzbedarf,,False,Bei erhöhtem Schutzbedarf SOLLTEN die Datenträger des Servers mit einem als sicher geltenden Produkt oder Verfahren verschlüsselt werden. Dies SOLLTE auch für virtuelle Maschinen mit produktiven Daten gelten. Es SOLLTE nicht nur ein TPM allein als Schlüsselschutz dienen. Das Wiederherstellungspasswort SOLLTE an einem geeigneten sicheren Ort gespeichert werden. Bei sehr hohen Anforderungen z. B. an die Vertraulichkeit SOLLTE eine Full Volume oder Full Disk Encryption erfolgen.
SYS.1.1.A35,SYS.1.1,Allgemeiner Server,Erstellung und Pflege eines Betriebshandbuchs,S,Standard,,False,"Es SOLLTE ein Betriebshandbuch erstellt werden. Darin SOLLTEN alle erforderlichen Regelungen, Anforderungen und Einstellungen dokumentiert werden, die erforderlich sind, um Server zu betreiben. Für jede Art von Server SOLLTE es ein spezifisches Betriebshandbuch geben. Das Betriebshandbuch SOLLTE regelmäßig aktualisiert werden. Das Betriebshandbuch SOLLTE vor unberechtigtem Zugriff geschützt werden. Das Betriebshandbuch SOLLTE in Notfällen zur Verfügung stehen."
SYS.1.1.A36,SYS.1.1,Allgemeiner Server,Absicherung des Bootvorgangs,H,Erhöhter Schutzbedarf,,False,Bootloader und Betriebssystem-Kern SOLLTEN durch selbstkontrolliertes Schlüsselmaterial signiert beim Systemstart in einer vertrauenswürdigen Kette geprüft werden (Secure Boot). Nicht benötigtes Schlüsselmaterial SOLLTE entfernt werden.
SYS.1.1.A37,SYS.1.1,Allgemeiner Server,Kapselung von sicherheitskritischen Anwendungen und Betriebssystemkomponenten,S,Standard,,False,"Um sowohl den unberechtigten Zugriff auf das Betriebssystem oder andere Anwendungen bei Angriffen als auch den Zugriff vom Betriebssystem auf besonders schützenswerte Dateien zu verhindern, SOLLTEN Anwendungen und Betriebssystemkomponenten (wie beispielsweise Authentisierung oder Zertifikatsüberprüfung) ihrem Schutzbedarf entsprechend besonders gekapselt oder anderen Anwendungen und Betriebssystemkomponenten gegenüber isoliert werden. Dabei SOLLTEN insbesondere sicherheitskritische Anwendungen berücksichtigt werden, die mit Daten aus unsicheren Quellen arbeiten (z. B. Webbrowser und Bürokommunikations-Anwendungen)."
SYS.1.1.A38,SYS.1.1,Allgemeiner Server,Härtung des Host-Systems mittels Read-Only-Dateisystem,H,Erhöhter Schutzbedarf,,False,Die Integrität des Host-Systems SOLLTE durch ein Read-Only-Dateisystem sichergestellt werden (Immutable OS).
SYS.1.1.A39,SYS.1.1,Allgemeiner Server,Zentrale Verwaltung der Sicherheitsrichtlinien von Servern,S,Standard,,False,"Alle Einstellungen des Servers SOLLTEN durch Nutzung eines zentralen Managementsystems (siehe auch OPS.1.1.7 Systemmanagement) verwaltet und entsprechend dem ermittelten Schutzbedarf sowie auf den internen Richtlinien basierend konfiguriert sein. Technisch nicht umsetzbare Konfigurationsparameter SOLLTEN dokumentiert, begründet und mit dem Sicherheitsmanagement abgestimmt werden."
SYS.1.1.A4,SYS.1.1,Allgemeiner Server,ENTFALLEN,B,Basis,,True,Diese Anforderung ist entfallen.
SYS.1.1.A5,SYS.1.1,Allgemeiner Server,Schutz von Schnittstellen,B,Basis,,False,"Es MUSS gewährleistet werden, dass nur dafür vorgesehene Wechselspeicher und sonstige Geräte an die Server angeschlossen werden können. Alle Schnittstellen, die nicht verwendet werden, MÜSSEN deaktiviert werden."
SYS.1.1.A6,SYS.1.1,Allgemeiner Server,Deaktivierung nicht benötigter Dienste,B,Basis,,False,"Alle nicht benötigten Serverrollen, Features und Funktionen, sonstige Software und Dienste MÜSSEN deaktiviert oder deinstalliert werden, vor allem Netzdienste. Auch alle nicht benötigten Funktionen in der Firmware MÜSSEN deaktiviert werden. Die Empfehlungen des Betriebssystemherstellers SOLLTEN hierbei als Orientierung berücksichtigt werden. Auf Servern SOLLTE der Speicherplatz für die einzelnen Benutzenden, aber auch für Anwendungen, geeignet beschränkt werden. Die getroffenen Entscheidungen SOLLTEN so dokumentiert werden, dass nachvollzogen werden kann, welche Konfiguration und Softwareausstattung für die Server gewählt wurden."
SYS.1.1.A7,SYS.1.1,Allgemeiner Server,ENTFALLEN,B,Basis,,True,Diese Anforderung ist entfallen.
SYS.1.1.A8,SYS.1.1,Allgemeiner Server,ENTFALLEN,B,Basis,,True,Diese Anforderung ist entfallen.
SYS.1.1.A9,SYS.1.1,Allgemeiner Server,Einsatz von Virenschutz-Programmen auf Servern,B,Basis,,False,"Abhängig vom installierten Betriebssystem, den bereitgestellten Diensten und von anderen vorhandenen Schutzmechanismen des Servers MUSS geprüft werden, ob Viren-Schutzprogramme eingesetzt werden sollen und können. Soweit vorhanden, MÜSSEN konkrete Aussagen, ob ein Virenschutz notwendig ist, aus den betreffenden Betriebssystem-Bausteinen des IT-Grundschutz- Kompendiums berücksichtigt werden."
SYS.1.2.2.A1,SYS.1.2.2,Windows Server 2012,Planung von Windows Server 2012,B,Basis,,False,"Der Einsatz von Windows Server 2012 MUSS vor der Installation sorgfältig geplant werden. Die Anforderungen an die Hardware MÜSSEN vor der Beschaffung geprüft werden. Es MUSS eine begründete und dokumentierte Entscheidung für eine geeignete Edition des Windows Server 2012 getroffen werden. Der Einsatzzweck des Servers sowie die Einbindung ins Active Directory MÜSSEN dabei spezifiziert werden. Die Nutzung von ins Betriebssystem integrierten Cloud-Diensten MUSS grundsätzlich abgewogen und geplant werden. Wenn nicht benötigt, MUSS die Einrichtung von Microsoft-Konten auf dem Server blockiert werden."
SYS.1.2.2.A10,SYS.1.2.2,Windows Server 2012,ENTFALLEN,H,Erhöhter Schutzbedarf,,True,Diese Anforderung ist entfallen.
SYS.1.2.2.A11,SYS.1.2.2,Windows Server 2012,Angriffserkennung bei Windows Server 2012,H,Erhöhter Schutzbedarf,,False,Sicherheitsrelevante Ereignisse in Windows Server 2012 SOLLTEN an einem zentralen Punkt gesammelt und ausgewertet werden. Verschlüsselte Partitionen SOLLTEN nach einer definierten Anzahl von Entschlüsselungsversuchen gesperrt werden.
SYS.1.2.2.A12,SYS.1.2.2,Windows Server 2012,Redundanz und Hochverfügbarkeit bei Windows Server 2012,H,Erhöhter Schutzbedarf,,False,"Es SOLLTE geprüft werden, welche Verfügbarkeitsanforderungen durch Betriebssystemfunktionen wie Distributed File System (DFS), ReFS, Failover Cluster und Network Load Balancing bzw. NIC-Teaming (LBFO) erfüllt oder unterstützt werden können. Für Außenstellen SOLLTE BranchCache aktiviert werden."
SYS.1.2.2.A13,SYS.1.2.2,Windows Server 2012,ENTFALLEN,H,Erhöhter Schutzbedarf,,True,Diese Anforderung ist entfallen.
SYS.1.2.2.A14,SYS.1.2.2,Windows Server 2012,Herunterfahren verschlüsselter Server und virtueller Maschinen,H,Erhöhter Schutzbedarf,,False,"Um verschlüsselte Daten zu schützen, SOLLTEN nicht benötigte Server (inklusive virtuelle Maschinen) immer heruntergefahren werden. Dies SOLLTE möglichst automatisiert erfolgen. Die Entschlüsselung der Daten SOLLTE einen interaktiven Schritt erfordern oder zumindest im Sicherheitsprotokoll festgehalten werden."
SYS.1.2.2.A2,SYS.1.2.2,Windows Server 2012,Sichere Installation von Windows Server 2012,B,Basis,,False,"Es DÜRFEN KEINE anderen als die benötigten Serverrollen und Features bzw. Funktionen installiert werden. Wenn es vom Funktionsumfang her ausreichend ist, MUSS die Server-Core-Variante installiert werden. Andernfalls MUSS begründet werden, warum die Server-Core-Variante nicht genügt. Der Server MUSS bereits während der Installation auf einen aktuellen Patch-Stand gebracht werden."
SYS.1.2.2.A3,SYS.1.2.2,Windows Server 2012,Sichere Administration von Windows Server 2012,B,Basis,,False,"Alle Administrierenden, die für das Server-System zuständig sind, MÜSSEN in den sicherheitsrelevanten Aspekten der Administration von Windows Server 2012 geschult sein. Webbrowser auf dem Server DÜRFEN NICHT zum Surfen im Web verwendet werden."
SYS.1.2.2.A4,SYS.1.2.2,Windows Server 2012,Sichere Konfiguration von Windows Server 2012,S,Standard,,False,"Mehrere wesentliche Funktionen bzw. Rollen SOLLTEN NICHT durch einen einzigen Server erfüllt, sondern geeignet aufgeteilt werden. Vor Inbetriebnahme SOLLTE das System grundlegend gehärtet werden. Dafür SOLLTEN funktionsspezifische und institutionsweite Sicherheitsvorlagen erstellt und gepflegt werden, die auf die Server ausgerollt werden. Der Internet Explorer SOLLTE auf dem Server nur in der Enhanced Security Configuration und im Enhanced Protected Mode genutzt werden."
SYS.1.2.2.A5,SYS.1.2.2,Windows Server 2012,Schutz vor Schadsoftware auf Windows Server 2012,S,Standard,,False,"Außer bei IT-Systemen mit Windows Server 2012, die als Stand-alone-Gerät ohne Netzanschluss und Wechselmedien betrieben werden, SOLLTE vor dem ersten Verbinden mit dem Netz oder Wechselmedien ein Virenschutzprogramm installiert werden. Im Konzept zum Schutz vor Schadsoftware SOLLTE vorgesehen werden, dass regelmäßig alle Festplatten vollständig gescannt werden. Es SOLLTEN Alarme für Virenfunde konfiguriert sein."
SYS.1.2.2.A6,SYS.1.2.2,Windows Server 2012,Sichere Authentisierung und Autorisierung in Windows Server 2012,S,Standard,,False,In Windows Server 2012 R2 SOLLTEN alle Konten von Benutzenden Mitglied der Sicherheitsgruppe „Geschützte Nutzer“ sein. Konten für Dienste und Computer SOLLTEN NICHT Mitglied von „Geschützte Nutzer“ sein. Dienste-Konten in Windows Server 2012 SOLLTEN Mitglied der Gruppe „Managed Service Account“ sein. Der PPL-Schutz des Local Credential Store LSA SOLLTE aktiviert werden. Der Einsatz dynamischer Zugriffsregeln auf Ressourcen SOLLTE bevorzugt werden.
SYS.1.2.2.A7,SYS.1.2.2,Windows Server 2012,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
SYS.1.2.2.A8,SYS.1.2.2,Windows Server 2012,Schutz der Systemintegrität,S,Standard,,False,AppLocker SOLLTE aktiviert und möglichst strikt konfiguriert sein.
SYS.1.2.2.A9,SYS.1.2.2,Windows Server 2012,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
SYS.1.2.3.A1,SYS.1.2.3,Windows Server,Planung von Windows Server,B,Basis,,False,"Es MUSS eine begründete und dokumentierte Entscheidung für eine geeignete Edition von Windows Server getroffen werden. Der Einsatzzweck des Servers sowie die Einbindung ins Active Directory MÜSSEN dabei spezifiziert werden. Die Nutzung von mitgelieferten Cloud-Diensten im Betriebssystem MUSS grundsätzlich abgewogen und gründlich geplant werden. Wenn nicht benötigt, MUSS die Einrichtung von Microsoft-Konten auf dem Server blockiert werden."
SYS.1.2.3.A2,SYS.1.2.3,Windows Server,Sichere Installation von Windows Server,B,Basis,,False,"Wenn vom Funktionsumfang her ausreichend, MUSS die Server-Core-Variante installiert werden. Andernfalls MUSS begründet werden, warum die Server-Core-Variante nicht genügt."
SYS.1.2.3.A3,SYS.1.2.3,Windows Server,Telemetrie- und Nutzungsdaten unter Windows Server,B,Basis,,False,"Um die Übertragung von Diagnose- und Nutzungsdaten an Microsoft stark zu reduzieren, MUSS das Telemetrie-Level 0 (Security) auf dem Windows Server konfiguriert werden. Wenn diese Einstellung nicht wirksam umgesetzt wird, dann MUSS durch geeignete Maßnahmen, etwa auf Netzebene, sichergestellt werden, dass die Daten nicht an den Hersteller übertragen werden."
SYS.1.2.3.A4,SYS.1.2.3,Windows Server,Schutz vor Ausnutzung von Schwachstellen in Anwendungen,S,Standard,,False,"Maßnahmen zum Schutz vor Exploits SOLLTEN für alle Programme und Dienste aktiviert werden, die den Exploit-Schutz von Windows (vgl. Verweis in Kapitel 4.1 Wissenswertes) unterstützen."
SYS.1.2.3.A5,SYS.1.2.3,Windows Server,Sichere Authentisierung und Autorisierung in Windows Server,S,Standard,,False,In Windows Server SOLLTEN alle Konten von Benutzenden Mitglied der Sicherheitsgruppe „Protected Users“ sein. Konten für Dienste und Computer SOLLTEN NICHT Mitglied von „Protected Users“ sein. Dienste-Konten in Windows Server SOLLTEN Mitglied der Gruppe „Managed Service Account“ sein.
SYS.1.2.3.A6,SYS.1.2.3,Windows Server,Sicherheit beim Fernzugriff über RDP,S,Standard,,False,"Die Auswirkungen auf die Konfiguration der lokalen Firewall SOLLTEN bei der Planung des Fernzugriffs berücksichtigt werden. Die Gruppe der Berechtigten und IT-Systeme für den Remote- Desktopzugriff (RDP) SOLLTE durch die Zuweisung entsprechender Berechtigungen festgelegt werden. Es SOLLTEN Mechanismen des Betriebssystems berücksichtigt werden, um die übertragenen Anmeldeinformationen zu schützen (z. B. Remote Credential Guard oder RestrictedAdmin). In komplexen Infrastrukturen SOLLTE das RDP-Zielsystem nur durch ein dazwischengeschaltetes RDP- Gateway erreicht werden können. Für die Verwendung von RDP SOLLTE eine Prüfung und deren Umsetzung sicherstellen, dass die nachfolgend aufgeführten Komfortfunktionen im Einklang mit dem Schutzbedarf des Zielsystems stehen: • die Verwendung der Zwischenablage, • die Einbindung von Wechselmedien und Netzlaufwerken sowie • die Nutzung der Dateiablagen, von weiteren Geräten und Ressourcen, wie z. B. Smartcard- Lesegeräten. Die eingesetzten kryptografischen Protokolle und Algorithmen SOLLTEN den internen Vorgaben der Institution entsprechen. Sofern der Einsatz von Remote-Desktopzugriffen nicht vorgesehen ist, SOLLTEN diese vollständig deaktiviert werden."
SYS.1.2.3.A7,SYS.1.2.3,Windows Server,Verwendung der Windows PowerShell,H,Erhöhter Schutzbedarf,,False,"Die PowerShell-Ausführung SOLLTE zentral protokolliert werden. Die erzeugten Protokolle SOLLTEN geeignet überwacht werden. Die Ausführung von PowerShell-Skripten SOLLTE mit dem Befehl Set- ExecutionPolicy AllSigned eingeschränkt werden, um zu verhindern, dass unsignierte Skripte (versehentlich) ausgeführt werden. Ältere Windows PowerShell-Versionen SOLLTEN deaktiviert werden. Der Einsatz des PowerShell Constrained Language Mode SOLLTE geprüft werden. Zur Einschränkung der Windows PowerShell SOLLTE bei Windows Server mithilfe von Just Enough Administration (JEA) eine rollenbasierte Administration implementiert werden."
SYS.1.2.3.A8,SYS.1.2.3,Windows Server,Nutzung des Virtual Secure Mode (VSM),H,Erhöhter Schutzbedarf,,False,"Bei der Nutzung des Virtual Secure Mode (VSM) SOLLTE berücksichtigt werden, dass forensische Untersuchungen, z. B. zur Sicherheitsvorfallbehandlung, eingeschränkt oder erschwert werden."
SYS.1.3.A1,SYS.1.3,Server unter Linux und,ENTFALLEN,B,Basis,,True,Diese Anforderung ist entfallen.
SYS.1.3.A10,SYS.1.3,Server unter Linux und,Verhinderung der Ausbreitung bei der Ausnutzung von Schwachstellen,S,Standard,,False,"Dienste und Anwendungen SOLLTEN mit einer individuellen Sicherheitsarchitektur geschützt werden (z. B. mit AppArmor oder SELinux). Auch chroot-Umgebungen sowie LXC- oder Docker-Container SOLLTEN dabei berücksichtigt werden. Es SOLLTE sichergestellt sein, dass mitgelieferte Standardprofile bzw. -regeln aktiviert sind."
SYS.1.3.A11,SYS.1.3,Server unter Linux und,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
SYS.1.3.A12,SYS.1.3,Server unter Linux und,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
