nr,pattern,unit_id,requirement_id,title,level,requirement_text,sentence_text,autor,zweitkodierer,autor_argument,zweitkodierer_argument,konsens,konsens_begruendung,schema_notiz
11,2: Autor=A/Zweitkodierer=B,SYS.1.2.2.A11.S02,SYS.1.2.2.A11,Angriffserkennung bei Windows Server 2012,H,Sicherheitsrelevante Ereignisse in Windows Server 2012 SOLLTEN an einem zentralen Punkt gesammelt und ausgewertet werden. Verschlüsselte Partitionen SOLLTEN nach einer definierten Anzahl von Entschlüsselungsversuchen gesperrt werden.,Verschlüsselte Partitionen SOLLTEN nach einer definierten Anzahl von Entschlüsselungsversuchen gesperrt werden.,A,B,"B, weil definierte Anzahl als Kontext notwendig",,B,“definierte Anzahl” bedarf Kontext,
12,2: Autor=A/Zweitkodierer=B,SYS.1.6.A17.S01,SYS.1.6.A17,Ausführung von Containern ohne Privilegien,S,"Die Container-Runtime und alle instanziierten Container SOLLTEN nur von einem nicht- privilegierten System-Account ausgeführt werden, der über keine erweiterten Rechte für den Container-Dienst und das Betriebssystem des Host-Systems verfügt oder diese Rechte erlangen kann. Die Container-Runtime SOLLTE durch zusätzliche Maßnahmen gekapselt werden, etwa durch Verwendung der Virtualisierungserweiterungen von CPUs. Sofern Container ausnahmsweise Aufgaben des Host-Systems übernehmen sollen, SOLLTEN die Privilegien auf dem Host-System auf das erforderliche Minimum begrenzt werden. Ausnahmen SOLLTEN angemessen dokumentiert werden.","Die Container-Runtime und alle instanziierten Container SOLLTEN nur von einem nicht- privilegierten System-Account ausgeführt werden, der über keine erweiterten Rechte für den Container-Dienst und das Betriebssystem des Host-Systems verfügt oder diese Rechte erlangen kann.",A,B,Auslesbare Konfiguration → A,Was ist nicht-privilegierter Systemaccount?,B,Konservativregel,
13,2: Autor=A/Zweitkodierer=B,SYS.1.9.A14.S01,SYS.1.9.A14,Monitoring des Terminalservers,S,"Der Terminalserver SOLLTE zentral überwacht werden. Hierfür SOLLTEN mindestens folgende Parameter überwacht werden: • Auslastung der Ressourcen des Terminalservers, • Auslastung der Netzschnittstellen des Terminalservers, • verfügbare und genutzte Bandbreite der verbundenen Clients sowie • Latenz an den verbundenen Clients unter Berücksichtigung der jeweiligen Anforderungsprofile. Für das Monitoring SOLLTEN vorab die jeweiligen Schwellwerte ermittelt werden (Baselining). Diese Schwellwerte SOLLTEN regelmäßig überprüft und bei Bedarf angepasst werden.",Der Terminalserver SOLLTE zentral überwacht werden.,A,B,"Wenn man es als Ja/Nein-Entscheidung interpretiert mit Fokus auf Satz → A.
Mit requirement_text → B",/,B,Schema falsch interpretiert vom Autor. requirement_text als Kontext nicht beachtet.,/
14,2: Autor=A/Zweitkodierer=B,SYS.2.3.A2.S05,SYS.2.3.A2,Auswahl einer geeigneten Distribution,B,"Auf Grundlage der Sicherheitsanforderungen und des Einsatzzwecks MUSS ein geeignetes Unix- Derivat bzw. eine geeignete Linux-Distribution ausgewählt werden. Es MUSS für die geplante Einsatzdauer des Betriebssystems Support verfügbar sein. Alle benötigten Anwendungsprogramme SOLLTEN als Teil der Distribution direkt verfügbar sein. Sie SOLLTEN NUR in Ausnahmefällen aus Drittquellen bezogen werden. Distributionen, bei denen das Betriebssystem selbst kompiliert wird, SOLLTEN NICHT in Produktivumgebungen eingesetzt werden.","Distributionen, bei denen das Betriebssystem selbst kompiliert wird, SOLLTEN NICHT in Produktivumgebungen eingesetzt werden.",A,B,Kontext notwendig: Ist das System ein Produktivsystem?,/,B,"Autor: Nicht beachtet, dass Kontext notwendig ist über das System.",/
15,2: Autor=A/Zweitkodierer=B,SYS.3.2.2.A21.S01,SYS.3.2.2.A21,Verwaltung von Zertifikaten,S,"Zertifikate zur Nutzung von Diensten auf dem mobilen Endgerät SOLLTEN zentral über das MDM installiert, deinstalliert und aktualisiert werden. Die Installation von nicht vertrauenswürdigen und nicht verifizierbaren (Root-) Zertifikaten durch Benutzende SOLLTE durch das MDM verhindert werden. Das MDM SOLLTE Mechanismen unterstützen, um die Gültigkeit von Zertifikaten zu überprüfen.","Zertifikate zur Nutzung von Diensten auf dem mobilen Endgerät SOLLTEN zentral über das MDM installiert, deinstalliert und aktualisiert werden.",A,B,Kann deterministisch konfiguriert und geprüft werden → A,,A,,
16,2: Autor=A/Zweitkodierer=B,SYS.3.3.A11.S02,SYS.3.3.A11,Ausfallvorsorge bei Mobiltelefonen,S,"Die auf einem Mobiltelefon gespeicherten Daten SOLLTEN in regelmäßigen Abständen auf einem externen Medium gesichert werden. Muss ein defektes Mobiltelefon repariert werden, SOLLTEN zuvor alle Daten gelöscht und das Gerät auf den Werkszustand zurückgesetzt werden. Es SOLLTEN immer Ersatzgeräte vorhanden sein, um ein ausgefallenes Mobiltelefon kurzfristig ersetzen zu können.","Muss ein defektes Mobiltelefon repariert werden, SOLLTEN zuvor alle Daten gelöscht und das Gerät auf den Werkszustand zurückgesetzt werden.",A,B,alle Daten löschen ist eindeutig – kein Kontext notwendig→ A,,A,,
17,Sonstige,SYS.1.1.A1.S07,SYS.1.1.A1,Zugriffsschutz und Nutzung,B,"Physische Server MÜSSEN an Orten betrieben werden, zu denen nur berechtigte Personen Zutritt haben. Physische Server MÜSSEN daher in Rechenzentren, Serverräumen oder abschließbaren Serverschränken aufgestellt beziehungsweise eingebaut werden (siehe hierzu die entsprechenden Bausteine der Schicht INF Infrastruktur). Bei virtualisierten Servern MUSS der Zugriff auf die Ressourcen der Instanz und deren Konfiguration ebenfalls auf die berechtigten Personen begrenzt werden. Server DÜRFEN NICHT als Arbeitsplatzrechner genutzt werden. Server DÜRFEN NICHT zur Erledigung von Aufgaben und Tätigkeiten verwendet werden, die grundsätzlich auf einem Client- System aus- und durchgeführt werden können. Insbesondere DÜRFEN vorhandene Anwendungen, wie Webbrowser, auf dem Server NICHT für das Abrufen von Informationen aus dem Internet oder das Herunterladen von Software, Treibern und Updates verwendet werden. Als Arbeitsplatz genutzte IT-Systeme DÜRFEN NICHT als Server genutzt werden.",Als Arbeitsplatz genutzte IT-Systeme DÜRFEN NICHT als Server genutzt werden.,B,C,"Über offene Ports und laufende Services sollte relativ einfach erkennbar sein, ob Dienste laufen, die den Charakter eines Servers haben.

Allerdings kann es Organisationsspezifika geben, weshalb ggf. Kontext notwendig ist, welche Eigenschaften wie ein Server wirken, aber vielleicht gewollt sind. → B","Nur teilweise technisch nachprüfbar bzw. regulierbar, ob System als Client genutzt wird. Daher konservativ C",C,Temporär einfach Docker-Container starten über freigegebene Ports. Sehr schwer bis gar nicht nachweisbar. Fehlende Evidenz.,
18,Sonstige,SYS.1.7.A27.S03,SYS.1.7.A27,Zeichensatzkonvertierung bei z/OS-Systemen,S,"Wenn Textdateien zwischen z/OS-Systemen und anderen Systemen übertragen werden, SOLLTE darauf geachtet werden, dass eventuell eine Zeichensatzkonvertierung erforderlich ist. Dabei SOLLTE die korrekte Umsetzungstabelle verwendet werden. Bei der Übertragung von Programm-Quellcode SOLLTE geprüft werden, ob alle Zeichen richtig übersetzt wurden. Bei der Übertragung von Binärdaten SOLLTE hingegen sichergestellt sein, dass keine Zeichensatzkonvertierung stattfindet.","Bei der Übertragung von Programm-Quellcode SOLLTE geprüft werden, ob alle Zeichen richtig übersetzt wurden.",A,C,"Wenn ein Mensch den Vorgang ausführt, dann ist es eher eine Anweisung → C
Ist die Übertragung automatisch (z. B. durch Skript), kann die korrekte Übertragung automatisch sichergestellt werden → A",,C,Konservativregel,"Human in the loop fehlt komplett im Schema.
A) vollautomatisch
B) automatisch mit Kontext
C) mit Human in the loop
D) nur Mensch

Verantwortungen vielleicht mit aufnehmen"
19,Sonstige,SYS.1.7.A37.S05,SYS.1.7.A37,Parallel Sysplex unter z/OS,H,"Anhand der Verfügbarkeits- und Skalierbarkeitsanforderungen SOLLTE entschieden werden, ob ein Parallel Sysplex (Cluster von z/OS-Systemen) eingesetzt wird und gegebenenfalls welche Redundanzen dabei vorgesehen werden. Bei der Dimensionierung der Ressourcen SOLLTEN die Anforderungen der Anwendungen berücksichtigt werden. Die Software und die Definitionen der LPARs des Sysplex, einschließlich RACF, SOLLTEN synchronisiert oder als gemeinsam benutzte Dateien bereitgestellt sein. Es SOLLTE sichergestellt sein, dass alle LPARs des Sysplex auf die Couple Data Sets zugreifen können. Die Couple Data Sets sowie alle sicherheitskritischen Programme und Kommandos zur Verwaltung des Sysplex SOLLTEN mittels RACF geschützt werden. Außerdem SOLLTE ein GRS-Verbund (Global Resource Serialization) eingerichtet werden. Die Festplatten des Sysplexes SOLLTEN strikt von den Festplatten anderer Systeme getrennt werden. Der System Logger SOLLTE mit Staging Data Set eingesetzt werden.",Die Couple Data Sets sowie alle sicherheitskritischen Programme und Kommandos zur Verwaltung des Sysplex SOLLTEN mittels RACF geschützt werden.,C,A,"Mindestens B für Kontext, was sicherheitsrelevante Programme sind → B",,B,Kontext notwendig,
20,Sonstige,SYS.2.3.A19.S04,SYS.2.3.A19,Festplatten- oder Dateiverschlüsselung,H,Festplatten oder die darauf abgespeicherten Dateien SOLLTEN verschlüsselt werden. Die dazugehörigen Schlüssel SOLLTEN NICHT auf dem IT-System gespeichert werden. Es SOLLTEN AEAD-Verfahren (Authenticated Encryption with Associated Data) bei der Festplatten- und Dateiverschlüsselung eingesetzt werden. Alternativ SOLLTE „dm-crypt“ in Kombination mit „dm- verity“ genutzt werden.,Alternativ SOLLTE „dm-crypt“ in Kombination mit „dm- verity“ genutzt werden.,C,A,"Ist eine Entscheidung, die von Menschen getroffen wird, ob alternativ “[…]” eingesetzt wird → C",,needs_review,,
21,Sonstige,SYS.2.6.A7.S01,SYS.2.6.A7,Härtung der virtualisierten Clients durch die VDI-Lösung,S,Die Möglichkeiten der VDI-Lösung SOLLTEN für die Härtung der virtuellen Clients entsprechend den Anforderungen des Bausteins SYS.2.5 Client-Virtualisierung genutzt werden. Die Betriebssysteme der Clients SOLLTEN ausschließlich über die Managementkomponente der VDI-Lösung konfiguriert werden. Eine individuelle Konfiguration bestehender virtueller Clients über die Virtualisierungsinfrastruktur SOLLTE mit technischen Mitteln unterbunden werden.,Die Möglichkeiten der VDI-Lösung SOLLTEN für die Härtung der virtuellen Clients entsprechend den Anforderungen des Bausteins SYS.2.5 Client-Virtualisierung genutzt werden.,B,C,Ohne Wissen des Bausteines → C,"Könnte auch B sein, kommt drauf an was in Baustein SYS 2.5 an Anforderungen hinterlegt ist -> daher konservativ C",C,Konservativregel,Ausschluss von Verweisen
22,Sonstige,SYS.4.4.A17.S01,SYS.4.4.A17,Überwachung des Netzverkehrs von IoT-Geräten,S,"Es SOLLTE überwacht werden, ob die IoT-Geräte oder Sensor-Systeme nur mit IT-Systemen kommunizieren, die für den Betrieb der IoT-Geräte notwendig sind.","Es SOLLTE überwacht werden, ob die IoT-Geräte oder Sensor-Systeme nur mit IT-Systemen kommunizieren, die für den Betrieb der IoT-Geräte notwendig sind.",B,C,"B, weil Kontext notwendig ist, was notwendig ist",,B,,
